,open,high,low,close,volume
202010141530,53800,53800,53800,53800,327
202010141520,53800,53800,53600,53600,145
202010141515,53700,53800,53700,53700,60
202010141510,53700,53800,53700,53800,51
202010141505,53600,53700,53500,53700,307
202010141500,54000,54000,53600,53600,99
202010141455,53900,54000,53900,54000,153
202010141450,53600,53900,53600,53800,45
202010141445,53600,53600,53600,53600,46
202010141440,53800,53800,53600,53700,121
202010141435,53800,53800,53600,53600,202
202010141430,53900,54000,53700,53700,387
202010141425,53900,53900,53800,53800,107
202010141420,54000,54000,53900,54000,121
202010141415,54000,54100,54000,54000,134
202010141410,54100,54100,54000,54100,26
202010141405,54200,54200,54100,54100,18
202010141400,54100,54200,54000,54100,88
202010141355,54100,54100,54000,54100,28
202010141350,54200,54200,54000,54000,97
202010141345,54100,54200,54100,54200,56
202010141340,54100,54100,54000,54100,48
202010141335,54200,54200,54000,54200,32
202010141330,54200,54200,54100,54200,86
202010141325,54200,54300,54200,54300,52
202010141320,54300,54300,54200,54300,74
202010141315,54300,54300,54200,54300,32
202010141310,54400,54400,54200,54300,24
202010141305,54300,54400,54200,54400,22
202010141300,54400,54400,54300,54300,30
202010141255,54400,54400,54300,54400,39
202010141250,54300,54500,54300,54400,40
202010141245,54500,54600,54300,54300,110
202010141240,54600,54600,54400,54500,72
202010141235,54500,54600,54500,54600,24
202010141230,54400,54600,54400,54500,69
202010141225,54600,54600,54400,54400,69
202010141220,54500,54600,54400,54600,64
202010141215,54400,54500,54300,54500,98
202010141210,54400,54500,54300,54400,55
202010141205,54200,54500,54200,54400,22
202010141200,54400,54400,54200,54300,66
202010141155,54600,54600,54300,54300,42
202010141150,54100,55200,54100,54600,488
202010141145,54300,54500,54100,54100,36
202010141140,54500,54700,54200,54300,727
202010141135,55600,55600,54400,54400,749
202010141130,54100,55700,54100,55700,894
202010141125,53800,54200,53800,54200,261
202010141120,53900,53900,53800,53900,23
202010141115,53800,53900,53800,53900,73
202010141110,53900,53900,53800,53800,224
202010141105,54000,54000,53900,53900,22
202010141100,54100,54100,54000,54000,327
202010141055,54100,54100,54100,54100,19
202010141050,54100,54200,54100,54100,40
202010141045,54100,54200,54100,54100,41
202010141040,53900,54200,53900,54100,29
202010141035,54100,54100,54000,54000,215
202010141030,54000,54100,53900,54100,584
202010141025,54000,54100,54000,54000,33
202010141020,54200,54200,54200,54200,113
202010141015,54500,54700,54200,54200,77
202010141010,54200,54700,54200,54700,155
202010141005,54100,54400,54100,54400,34
202010141000,54100,54300,54000,54100,40
202010140955,54100,54500,54100,54400,217
202010140950,53900,54100,53800,54100,601
202010140945,54100,54100,53900,53900,101
202010140940,54200,54200,54100,54100,76
202010140935,54100,54200,54100,54200,22
202010140930,54100,54100,54000,54100,69
202010140925,54200,54200,54000,54200,56
202010140920,54100,54200,54000,54200,132
202010140915,53800,54200,53700,54200,208
202010140910,54800,54800,53400,53400,287
202010140905,54900,55000,54600,54800,122
202010131530,54900,54900,54900,54900,243
202010131520,54800,54900,54700,54700,177
202010131515,54600,54700,54500,54700,160
202010131510,54700,54800,54600,54700,306
202010131505,54600,54600,54600,54600,79
202010131500,54600,54700,54600,54700,17
202010131455,54700,54700,54600,54600,250
202010131450,54600,54800,54600,54600,224
202010131445,54800,54800,54700,54700,33
202010131440,54700,54700,54600,54600,52
202010131435,54700,54700,54700,54700,14
202010131430,54800,54800,54700,54700,14
202010131425,54700,54900,54700,54800,61
202010131420,54700,54900,54600,54600,632
202010131415,54600,54700,54600,54600,47
202010131410,54600,54700,54600,54700,82
202010131405,54600,54600,54600,54600,43
202010131400,54600,54700,54600,54600,149
202010131355,54600,54700,54500,54600,40
202010131350,54600,54600,54500,54600,529
202010131345,54600,54600,54600,54600,16
202010131340,54600,54700,54600,54600,19
202010131335,54700,54700,54600,54600,292
202010131330,54600,54800,54600,54700,49
202010131325,54600,54700,54600,54600,21
