,open,high,low,close,volume
20201014,35000,35050,34250,34300,115614
20201013,35050,35500,34350,34500,85735
20201012,35200,35350,34550,34950,159907
20201008,35200,35850,34850,34900,198733
20201007,33900,37250,33750,35000,512944
20201006,33800,34250,33750,34250,101185
20201005,34000,34500,33400,33850,123681
20200929,33900,33950,33200,33600,112918
20200928,32950,34350,32600,33200,266406
20200925,33700,34400,32750,32950,172821
20200924,35000,35350,33450,33550,263350
20200923,36250,37050,35600,35750,254570
20200922,38700,38700,36000,36150,352656
20200921,42800,43850,38100,38200,1679138
20200918,37800,40800,37800,40800,642149
20200917,38850,38850,37800,37950,144750
20200916,38750,39600,38200,38850,276386
20200915,38750,38950,38150,38750,151923
20200914,38500,38900,37900,38550,226510
20200911,37600,39800,37200,37950,503158
20200910,37800,38000,37550,37550,114366
20200909,37600,37950,37500,37700,123191
20200908,38500,38950,37800,38000,202991
20200907,39350,39400,38350,38400,213531
20200904,37400,39450,37400,39150,374380
20200903,39250,40050,39000,39000,394925
20200902,39050,39350,38500,39150,250494
20200901,38200,41000,37650,38700,1311250
20200831,37700,39200,37000,38150,544928
20200828,38700,40000,38000,38050,516353
20200827,40150,40300,38200,38350,424265
20200826,39050,40050,38600,40000,570569
20200825,38900,39200,38200,39050,297094
20200824,37300,39150,36950,38400,429661
20200821,37800,39900,37350,37700,1312706
20200820,36800,38250,36250,37200,336740
20200819,36100,37200,36100,36900,135941
20200818,37200,38100,35500,36000,232488
20200814,37900,38950,37350,37600,262071
20200813,38150,38500,37400,37800,262552
20200812,38350,39900,37800,38000,568190
20200811,37000,41800,37000,38750,1637327
20200810,38500,38500,37050,37300,315718
20200807,39200,41600,38300,38500,762511
20200806,39400,45900,38000,39500,5339816
20200805,38050,39100,37400,38450,582513
20200804,35450,37800,35450,37050,550247
20200803,35650,36000,34600,35450,175383
20200731,36400,37100,35800,35850,199028
20200730,37100,37500,36250,36400,311367
20200729,36900,38700,36850,37900,237354
20200728,37900,38700,37400,37600,268232
20200727,39500,39500,37650,37800,454574
20200724,39600,40750,38450,39500,1171147
20200723,36300,42950,35600,38900,3563558
20200722,35250,36150,34700,36050,225602
20200721,34750,36750,34500,35250,624545
20200720,34000,34700,33800,34450,172405
20200717,33650,34600,33600,34000,131068
20200716,33900,34600,33700,33750,130453
20200715,35100,35400,33750,33900,189544
20200714,33000,38300,32850,34800,1322411
20200713,32800,33100,32550,32950,117645
20200710,33600,33600,32400,32700,200718
20200709,33450,33950,33000,33300,316506
