,open,high,low,close,volume
202010141530,46250,46250,46250,46250,110349
202010141520,46050,46250,46050,46250,95368
202010141515,46150,46150,46000,46100,52850
202010141510,46150,46250,46050,46100,61377
202010141505,46100,46200,46000,46100,48732
202010141500,46150,46400,46100,46100,103825
202010141455,45950,46200,45950,46100,108213
202010141450,45700,46000,45650,45950,69363
202010141445,45700,45800,45600,45700,94778
202010141440,45800,45850,45650,45750,60673
202010141435,45900,45950,45700,45750,52650
202010141430,45950,46000,45700,45900,52834
202010141425,45850,46050,45600,45950,130589
202010141420,45900,45950,45750,45800,98857
202010141415,46050,46050,45800,45900,152580
202010141410,46150,46150,46000,46050,93007
202010141405,46100,46200,46100,46150,31900
202010141400,46200,46200,46100,46150,32862
202010141355,46350,46350,46150,46150,70708
202010141350,46300,46400,46300,46300,21168
202010141345,46500,46550,46300,46300,41596
202010141340,46500,46600,46450,46500,17221
202010141335,46500,46600,46500,46500,11809
202010141330,46550,46550,46450,46550,21644
202010141325,46550,46550,46500,46500,19305
202010141320,46550,46600,46500,46550,16061
202010141315,46550,46600,46500,46600,22316
202010141310,46650,46750,46550,46550,18354
202010141305,46550,46700,46550,46600,8896
202010141300,46600,46700,46550,46550,14927
202010141255,46650,46700,46600,46600,11873
202010141250,46800,46800,46650,46650,15125
202010141245,46800,46900,46700,46800,16643
202010141240,46800,46950,46800,46800,38007
202010141235,46700,46850,46650,46800,30387
202010141230,46600,46700,46550,46700,17638
202010141225,46700,46750,46600,46600,15298
202010141220,46550,46750,46550,46750,45566
202010141215,46350,46600,46350,46600,35131
202010141210,46350,46400,46300,46350,18246
202010141205,46300,46500,46250,46350,18818
202010141200,46350,46400,46300,46300,20751
202010141155,46500,46500,46300,46350,32621
202010141150,46450,46500,46450,46500,13113
202010141145,46550,46600,46450,46450,26661
202010141140,46600,46700,46500,46550,21557
202010141135,46500,46650,46450,46600,27536
202010141130,46550,46600,46350,46550,40811
202010141125,46300,46600,46250,46550,85487
202010141120,46150,46350,45900,46300,184667
202010141115,46350,46400,46050,46150,166292
202010141110,46400,46500,46350,46350,89234
202010141105,46600,46650,46400,46450,120788
202010141100,46550,46650,46550,46600,20963
202010141055,46600,46650,46550,46550,29716
202010141050,46800,46800,46550,46600,38590
202010141045,46700,46800,46600,46800,36339
202010141040,46800,46950,46700,46700,48484
202010141035,46700,46850,46500,46800,133939
202010141030,46900,46900,46650,46700,119768
202010141025,47100,47150,46850,46850,100580
202010141020,47250,47250,47000,47050,59009
202010141015,47250,47300,47100,47200,37684
202010141010,47400,47400,47200,47250,38508
202010141005,47200,47400,47200,47350,23809
202010141000,47500,47500,47200,47200,37485
202010140955,47100,47500,47050,47500,73696
202010140950,47450,47450,47050,47050,56076
202010140945,47400,47550,47200,47450,46560
202010140940,47550,47600,47200,47400,74438
202010140935,47550,47800,47400,47600,59221
202010140930,48050,48100,47450,47600,120719
202010140925,48000,48250,47850,48100,222090
202010140920,47200,48000,47150,48000,152254
202010140915,46700,47200,46650,47150,154175
202010140910,47350,47450,46700,46750,231431
202010140905,47800,48350,47150,47350,319522
202010131530,47450,47450,47450,47450,73295
202010131520,47450,47550,47400,47450,85260
202010131515,47450,47600,47400,47500,61005
202010131510,47500,47600,47400,47450,71420
202010131505,47650,47700,47400,47500,146105
202010131500,47700,47750,47650,47700,47637
202010131455,47850,47900,47700,47750,37003
202010131450,47950,48000,47800,47850,20331
202010131445,47950,48100,47900,47950,59733
202010131440,47650,48000,47650,48000,30734
202010131435,47800,47900,47600,47650,43040
202010131430,47750,47900,47600,47800,85236
202010131425,47950,47950,47800,47800,45049
202010131420,47900,47950,47850,47950,23162
202010131415,47950,48000,47850,47900,34059
202010131410,47950,48050,47900,47950,22790
202010131405,48050,48100,47900,48000,29365
202010131400,48100,48250,48050,48100,35002
202010131355,47900,48100,47850,48100,69032
202010131350,47950,48050,47850,47850,50416
202010131345,48100,48150,47950,48000,60315
202010131340,48200,48200,48100,48100,22448
202010131335,48100,48200,48050,48150,24851
202010131330,48150,48200,48050,48150,27841
202010131325,48200,48250,48100,48150,17807
202010131320,48200,48250,48150,48200,11969
202010131315,48150,48200,48100,48200,16950
202010131310,48300,48300,48150,48150,16935
202010131305,48100,48350,48100,48300,21123
202010131300,48250,48250,48100,48150,13350
202010131255,48150,48250,48050,48200,17595
202010131250,48100,48300,48050,48150,20464
202010131245,48100,48150,48050,48050,17293
202010131240,48100,48300,48100,48150,14375
202010131235,48050,48200,48050,48150,11640
202010131230,48000,48250,47950,48100,48865
202010131225,48150,48200,48000,48050,28272
202010131220,48200,48250,48050,48150,22756
202010131215,48150,48300,48050,48200,45567
202010131210,48300,48400,48100,48150,40956
202010131205,48450,48450,48300,48350,15831
202010131200,48300,48600,48250,48450,36331
202010131155,48300,48450,48200,48300,55564
202010131150,48550,48650,48200,48250,75975
202010131145,48650,48800,48350,48550,94636
202010131140,48800,49050,48400,48700,178409
202010131135,48500,49350,48500,48850,625060
202010131130,47750,48600,47700,48600,223316
202010131125,47700,47750,47600,47700,38554
202010131120,47650,47750,47550,47700,48202
202010131115,47650,47800,47650,47650,20425
202010131110,47800,47900,47650,47650,36799
202010131105,47750,47900,47700,47800,27346
202010131100,47700,47800,47700,47750,21381
202010131055,47550,47750,47550,47700,18980
202010131050,47650,47650,47500,47600,62495
202010131045,47750,47750,47600,47650,18315
202010131040,47700,47850,47600,47750,26166
202010131035,47800,47800,47650,47700,23644
202010131030,47700,47850,47600,47800,25955
202010131025,47650,47750,47550,47700,48235
202010131020,47500,47850,47500,47650,65057
202010131015,47650,47800,47500,47550,54865
202010131010,47700,47750,47500,47650,114327
202010131005,47950,48000,47700,47700,57305
202010131000,48000,48100,47800,47900,80785
202010130955,48250,48350,47950,48000,85702
202010130950,48050,48250,47950,48250,106974
202010130945,47700,48050,47700,48000,110994
202010130940,47900,47950,47550,47700,67057
202010130935,47750,47950,47700,47950,86845
202010130930,47500,47800,47350,47750,128982
202010130925,47600,47900,47400,47500,226470
202010130920,47700,47750,47250,47600,346834
202010130915,47900,48100,47650,47700,281219
202010130910,48200,48400,47900,47950,262594
202010130905,48600,48800,48200,48200,429873
202010121530,49100,49100,49100,49100,148621
202010121520,48750,48900,48700,48850,84186
202010121515,48850,48850,48750,48750,30573
202010121510,48900,48900,48800,48850,52379
202010121505,48950,49000,48850,48900,37668
202010121500,48900,49050,48850,48950,72454
202010121455,48900,48950,48850,48900,26545
202010121450,48950,48950,48850,48900,40310
202010121445,49000,49000,48900,48950,37820
202010121440,49050,49050,48850,48950,62864
202010121435,48800,49100,48800,49050,124349
202010121430,48850,48900,48650,48850,66544
202010121425,48500,48850,48450,48850,78273
202010121420,48400,48500,48300,48500,22690
202010121415,48300,48450,48250,48350,24332
202010121410,48150,48450,48100,48250,38951
202010121405,48100,48200,48000,48150,79894
202010121400,48150,48200,48100,48150,23077
202010121355,48150,48200,48100,48150,40556
202010121350,48100,48300,48050,48150,54659
202010121345,48400,48400,48100,48100,53195
202010121340,48250,48400,48200,48350,20686
202010121335,48350,48400,48250,48250,30053
202010121330,48500,48550,48350,48400,22241
202010121325,48200,48600,48200,48500,56088
202010121320,48300,48350,48150,48200,46964
202010121315,48300,48400,48250,48350,38876
202010121310,48450,48500,48100,48300,105945
202010121305,48450,48600,48450,48450,36584
202010121300,48650,48700,48450,48450,81238
202010121255,48650,48700,48650,48650,21747
202010121250,48700,48700,48650,48650,15235
202010121245,48650,48750,48600,48700,20523
202010121240,48750,48750,48650,48650,11596
202010121235,48800,48850,48650,48750,59203
202010121230,48850,48900,48800,48800,10040
202010121225,48900,48950,48800,48850,21903
202010121220,48850,48900,48800,48850,22460
202010121215,48900,48950,48850,48850,10631
202010121210,48900,48950,48850,48900,13939
202010121205,48900,48950,48850,48950,15897
202010121200,48900,48900,48850,48850,10188
202010121155,48850,48950,48850,48850,17187
202010121150,48900,48900,48800,48850,20221
202010121145,48850,48950,48850,48900,15043
202010121140,48900,48950,48800,48850,40648
202010121135,48900,49000,48900,48950,14236
202010121130,48950,49050,48900,48950,29674
202010121125,49150,49150,48950,49000,43686
202010121120,48950,49150,48950,49100,39402
202010121115,49000,49050,48900,49000,28666
202010121110,48900,49100,48850,49000,50724
202010121105,48850,48900,48700,48850,42662
202010121100,48900,48950,48850,48900,19027
202010121055,48900,49000,48800,48900,37974
202010121050,49100,49150,48900,48900,34732
202010121045,49000,49200,48950,49100,77607
202010121040,48950,49050,48800,49000,71460
202010121035,48800,49000,48750,48900,42501
202010121030,48800,49000,48800,48800,62985
202010121025,48600,48850,48600,48850,37776
202010121020,48450,48650,48300,48600,95072
202010121015,48550,48700,48400,48500,94709
202010121010,48750,48900,48500,48500,87667
202010121005,48900,49050,48750,48750,69061
202010121000,48700,49000,48600,48950,78809
202010120955,48950,48950,48650,48650,103696
202010120950,49000,49050,48850,48900,69419
202010120945,49200,49200,48900,48950,95062
202010120940,49400,49650,49150,49150,259041
202010120935,48900,49550,48850,49350,290458
202010120930,49050,49050,48700,48900,123509
202010120925,48900,49300,48800,49050,251973
202010120920,48600,48900,48400,48850,172076
202010120915,48400,49250,48350,48600,415375
202010120910,47650,48450,47600,48450,347314
202010120905,49000,49300,47600,47700,756190
202010081530,48850,48850,48850,48850,426767
202010081520,48550,48900,48500,48750,227314
202010081515,48700,48850,48500,48550,132853
202010081510,48900,48900,48350,48700,256657
202010081505,48950,49000,48600,48850,162736
202010081500,48600,49100,48550,48900,284544
202010081455,48850,49100,48500,48550,371431
202010081450,49000,49050,48300,48850,519441
202010081445,49400,49600,48800,49000,822275
202010081440,49500,50500,49350,49450,1054715
202010081435,48700,49500,48650,49500,540565
202010081430,48450,48700,48200,48650,258033
202010081425,48400,48650,48050,48450,391912
202010081420,47950,48500,47650,48450,345864
202010081415,47850,48300,47800,47950,466359
202010081410,47650,47900,47450,47900,205106
202010081405,47350,47700,47250,47650,254540
202010081400,47400,47450,47200,47350,147717
202010081355,47000,47500,47000,47400,224016
202010081350,46950,47300,46900,47000,322806
202010081345,46750,47000,46700,46900,209647
202010081340,46900,46900,46750,46750,79382
202010081335,46600,46900,46550,46850,189995
202010081330,46600,46600,46500,46550,35359
202010081325,46500,46600,46450,46550,31420
202010081320,46550,46600,46400,46550,55841
202010081315,46550,46600,46500,46550,37465
202010081310,46700,46700,46500,46550,49477
202010081305,46600,46700,46550,46650,50653
202010081300,46550,46600,46500,46600,29179
202010081255,46700,46700,46500,46550,67130
202010081250,46450,46700,46450,46650,150135
202010081245,46450,46500,46400,46500,42823
202010081240,46300,46500,46250,46450,86191
202010081235,46350,46450,46300,46350,24892
202010081230,46400,46500,46350,46350,63176
202010081225,46250,46400,46150,46400,35956
202010081220,46250,46300,46200,46250,22241
202010081215,46300,46300,46200,46300,17124
202010081210,46250,46350,46200,46300,28429
202010081205,46400,46450,46200,46250,31136
202010081200,46300,46450,46200,46400,33829
202010081155,46300,46400,46200,46300,27048
202010081150,46450,46500,46250,46350,44141
202010081145,46300,46450,46250,46450,61265
202010081140,46250,46300,46100,46250,36145
202010081135,46300,46300,46200,46250,24169
202010081130,46200,46300,46150,46300,28052
202010081125,46150,46200,46050,46200,25475
202010081120,46200,46250,46050,46150,34799
202010081115,46100,46250,46050,46250,35730
202010081110,46050,46150,46000,46050,65471
202010081105,46000,46150,45900,46050,50917
202010081100,45750,46100,45750,46050,45124
202010081055,45900,45900,45700,45750,96890
202010081050,45850,45950,45850,45900,36700
202010081045,45950,46000,45800,45900,49491
202010081040,45850,46050,45800,45900,104414
202010081035,46250,46250,45750,45800,248850
202010081030,46250,46300,46050,46250,133485
202010081025,46350,46450,46200,46200,82753
202010081020,46400,46600,46300,46350,106563
202010081015,46600,46650,46400,46400,116193
202010081010,46400,46800,46350,46600,321571
202010081005,46250,46500,46200,46400,206702
202010081000,46100,46350,46100,46200,151295
202010080955,46100,46200,46000,46100,79070
202010080950,45900,46150,45850,46050,91921
202010080945,46100,46100,45850,45900,52833
202010080940,45950,46100,45800,46050,75502
202010080935,46150,46150,45800,45950,111681
202010080930,46200,46200,46050,46100,67174
202010080925,46100,46250,46000,46200,138470
202010080920,45950,46150,45650,46100,272448
202010080915,46050,46200,45850,45900,290858
202010080910,46100,46500,46000,46000,381137
202010080905,46000,46650,46000,46050,1062639
202010071530,44600,44600,44600,44600,134426
202010071520,44500,44550,44450,44500,132972
202010071515,44350,44500,44350,44450,67081
202010071510,44400,44450,44350,44400,44591
202010071505,44300,44450,44250,44400,51284
202010071500,44300,44350,44150,44300,54941
202010071455,44300,44350,44250,44350,35922
202010071450,44500,44500,44250,44300,65943
202010071445,44350,44500,44350,44450,61677
202010071440,44250,44450,44250,44350,62517
202010071435,44350,44450,44250,44300,46839
202010071430,44200,44450,44150,44400,113551
202010071425,44150,44200,44100,44150,29536
202010071420,44050,44200,44050,44150,23410
202010071415,44150,44200,44050,44100,15972
202010071410,44050,44200,43950,44100,59506
202010071405,44150,44150,43950,44050,44355
202010071400,44250,44300,44100,44150,32875
202010071355,44250,44300,44150,44200,36154
202010071350,44250,44350,44200,44250,36442
202010071345,44350,44350,44150,44300,32051
202010071340,44400,44500,44200,44300,114071
202010071335,44200,44400,44150,44400,109648
202010071330,44100,44200,44050,44200,30498
202010071325,44200,44200,44000,44100,28994
202010071320,43950,44200,43950,44200,73467
202010071315,43950,44000,43850,43950,14315
202010071310,43900,44000,43800,43950,29029
202010071305,43750,43950,43750,43900,18585
202010071300,43850,43900,43750,43800,12177
202010071255,43950,43950,43850,43900,28636
202010071250,43650,43950,43650,43900,37352
202010071245,43650,43700,43600,43700,16460
202010071240,43800,43900,43650,43650,21015
202010071235,43700,43850,43650,43800,21634
202010071230,43500,43750,43450,43700,97285
202010071225,43600,43800,43500,43500,69435
202010071220,43850,43900,43600,43600,101156
202010071215,43900,43900,43800,43850,21258
202010071210,43900,43950,43850,43850,16317
202010071205,43850,43900,43800,43900,15120
202010071200,43950,44000,43800,43850,35509
202010071155,43900,44000,43850,43950,19399
202010071150,43800,43900,43800,43900,22870
202010071145,44000,44000,43750,43850,51427
202010071140,44100,44100,43950,44000,20104
202010071135,43950,44150,43900,44100,49533
202010071130,43950,43950,43900,43950,17310
202010071125,44000,44000,43850,43950,20908
202010071120,43950,44000,43850,44000,37529
202010071115,44050,44050,43950,44000,18752
202010071110,43950,44050,43900,44050,33911
202010071105,44050,44100,43950,43950,28952
202010071100,44050,44100,44000,44100,14256
202010071055,43950,44050,43850,44050,27551
202010071050,44100,44100,43900,43950,29500
202010071045,44100,44100,43850,44050,37134
202010071040,43950,44100,43750,44050,74756
202010071035,44100,44150,43900,43950,81043
202010071030,44350,44350,44100,44100,56709
202010071025,44150,44350,43950,44350,133466
202010071020,44200,44300,44100,44100,82334
202010071015,44350,44350,44100,44200,125235
202010071010,44550,44650,44300,44300,146527
202010071005,44250,44700,44250,44550,287731
202010071000,43900,44450,43900,44250,359899
202010070955,43750,43950,43750,43950,61760
202010070950,43900,44000,43700,43750,78704
202010070945,43900,44050,43700,43950,181998
202010070940,44100,44100,43700,43900,212253
202010070935,43750,44250,43700,44100,436144
202010070930,43550,43900,43450,43750,385295
202010070925,43250,43600,43100,43550,340533
202010070920,43100,43300,42750,43300,239807
202010070915,42600,43400,42550,43100,448096
202010070910,42200,42650,42100,42550,200224
202010070905,41900,42300,41600,42250,183602
202010061530,42300,42300,42300,42300,58321
202010061520,42250,42300,42150,42300,73114
202010061515,42200,42250,42150,42250,34658
202010061510,42250,42250,42200,42200,31561
202010061505,42200,42250,42200,42200,9685
202010061500,42200,42250,42200,42250,16631
202010061455,42300,42300,42200,42250,18941
202010061450,42200,42300,42150,42300,26383
202010061445,42150,42250,42100,42200,45916
202010061440,42100,42250,42100,42200,46037
202010061435,41850,42150,41850,42150,32183
202010061430,41850,42100,41850,41900,33692
202010061425,41800,41900,41700,41850,75619
202010061420,41950,42000,41800,41800,61623
202010061415,42200,42250,41900,41950,58912
202010061410,42200,42200,42100,42150,23606
202010061405,42250,42250,42150,42200,13784
202010061400,42200,42250,42200,42250,11303
202010061355,42200,42300,42150,42200,22703
202010061350,42150,42300,42100,42200,43994
202010061345,41950,42150,41900,42100,22437
202010061340,42100,42100,41900,41900,52485
202010061335,42050,42100,42000,42100,23262
202010061330,42000,42150,42000,42000,24525
202010061325,42100,42100,42000,42050,51077
202010061320,42150,42150,42050,42100,28909
202010061315,42100,42150,42100,42150,9266
202010061310,42100,42150,42050,42100,29904
202010061305,42150,42150,42100,42100,17791
202010061300,42250,42250,42100,42150,23624
202010061255,42200,42250,42200,42200,10111
202010061250,42200,42250,42150,42200,15092
202010061245,42150,42200,42150,42200,10633
202010061240,42250,42250,42100,42200,30147
202010061235,42150,42250,42150,42200,13365
202010061230,42250,42250,42150,42150,26214
202010061225,42300,42300,42200,42250,13928
202010061220,42250,42300,42250,42300,8673
202010061215,42300,42300,42200,42300,11771
202010061210,42300,42300,42250,42300,12127
202010061205,42300,42300,42200,42250,10308
202010061200,42300,42300,42250,42250,9800
202010061155,42300,42350,42250,42300,10706
202010061150,42250,42350,42200,42300,17122
202010061145,42200,42250,42150,42250,31066
202010061140,42200,42250,42200,42250,12261
202010061135,42300,42300,42200,42200,9353
202010061130,42300,42300,42200,42300,12404
202010061125,42200,42300,42150,42300,16973
202010061120,42300,42300,42150,42200,36763
202010061115,42300,42300,42200,42300,15528
202010061110,42350,42400,42300,42300,28139
202010061105,42150,42350,42150,42350,25149
202010061100,42300,42300,42150,42200,26921
202010061055,42350,42400,42200,42300,19628
202010061050,42200,42500,42200,42350,36396
202010061045,42300,42350,42200,42200,23802
202010061040,42150,42400,42100,42400,49558
202010061035,42200,42250,42100,42150,38834
202010061030,42200,42250,42150,42200,20371
202010061025,42250,42300,42150,42200,21377
202010061020,42200,42300,42150,42250,19871
202010061015,42400,42400,42100,42150,50453
202010061010,42350,42550,42300,42400,41968
202010061005,42600,42700,42300,42350,64592
202010061000,42400,42650,42400,42600,84473
202010060955,42300,42550,42250,42450,81842
202010060950,42300,42350,42100,42300,59986
202010060945,42050,42300,41950,42250,153829
202010060940,42200,42350,42050,42050,89307
202010060935,42200,42250,42050,42250,130173
202010060930,42350,42400,42150,42200,93701
202010060925,42400,42700,42300,42350,144766
202010060920,42350,42500,42050,42400,193470
202010060915,42850,42850,42150,42400,262333
202010060910,42650,43050,42600,42800,261289
202010060905,43550,43600,42600,42650,867689
202010051530,42150,42150,42150,42150,90371
202010051520,42000,42100,41950,42050,56391
202010051515,42050,42100,41950,42000,51772
202010051510,41800,42100,41750,42050,68007
202010051505,41900,42000,41800,41800,75134
202010051500,42200,42200,41900,41950,86859
202010051455,42100,42200,42050,42200,37023
202010051450,42050,42150,42050,42050,45061
202010051445,42100,42150,42050,42100,28659
202010051440,42100,42150,42000,42050,40186
202010051435,42250,42250,42000,42100,39922
202010051430,42250,42250,42050,42150,36583
202010051425,42300,42300,42200,42250,31428
202010051420,42200,42350,42150,42300,87831
202010051415,42200,42200,42000,42200,57739
202010051410,42100,42200,42050,42200,52675
202010051405,41900,42100,41900,42100,38182
202010051400,41850,41950,41850,41900,18664
202010051355,41850,41900,41800,41900,17833
202010051350,41850,41900,41800,41800,19091
202010051345,41950,42000,41850,41850,37387
202010051340,41900,42050,41850,42000,38822
202010051335,41950,41950,41800,41850,30399
202010051330,41850,41950,41750,41950,20329
202010051325,41750,41850,41700,41800,26710
202010051320,41750,41900,41700,41750,47407
202010051315,41650,41850,41600,41800,37739
202010051310,41650,41800,41550,41600,78274
202010051305,41900,41900,41600,41600,81813
202010051300,41900,42000,41850,41900,30738
202010051255,41950,41950,41850,41850,29123
