,open,high,low,close,volume
20201014,15000,15050,14400,14450,285682
20201013,13850,15100,13800,15000,520467
20201012,13900,13900,13550,13750,183237
20201008,13900,13950,13700,13750,109581
20201007,13700,13950,13550,13850,89534
20201006,13750,13950,13650,13700,115298
20201005,13600,13850,13500,13850,140695
20200929,13600,13600,13350,13400,112321
20200928,13400,13600,13150,13500,70844
20200925,13200,13400,13000,13200,98372
20200924,12850,12900,12700,12900,142573
20200923,13000,13150,12800,12900,63729
20200922,13300,13350,12850,12950,152912
20200921,13500,13750,13200,13300,79417
20200918,13550,13650,13400,13500,69066
20200917,13450,13600,13300,13450,113579
20200916,13500,13700,13400,13450,100345
20200915,13700,13750,13400,13600,95694
20200914,13650,13800,13550,13700,95338
20200911,13300,13650,13250,13600,86096
20200910,13400,13550,13350,13400,123404
20200909,13450,13550,13300,13300,117460
20200908,13950,14000,13450,13600,139176
20200907,14250,14250,13750,13900,218794
20200904,13350,14050,13300,13950,254939
20200903,13400,13900,13300,13850,298009
20200902,12950,13450,12900,13400,229365
20200901,12800,13050,12700,12800,218787
20200831,12650,13250,12650,12800,198509
20200828,12700,12950,12450,12650,181401
20200827,13050,13100,12650,12700,151582
20200826,13150,13150,12800,13150,121736
20200825,12850,13250,12800,13200,120466
20200824,13000,13000,12700,12750,98924
20200821,12850,13150,12650,12900,151229
20200820,13300,13350,12700,12750,200200
20200819,12900,13600,12800,13300,242359
20200818,13800,14000,12650,12650,290991
20200814,13550,14050,13500,13800,774825
20200813,13000,13100,12700,12750,228220
20200812,13300,13400,12850,13000,308886
20200811,12500,13450,12450,13350,252791
20200810,12350,12600,12150,12550,112211
20200807,12600,12750,12250,12350,93069
20200806,12400,12900,12300,12650,146915
20200805,12100,12700,12100,12400,120679
20200804,12000,12200,11900,12100,61835
20200803,12000,12100,11900,11900,59250
20200731,12050,12150,11950,11950,93916
20200730,12150,12300,12050,12050,74851
20200729,12050,12250,11950,12150,115370
20200728,12100,12250,12050,12100,49166
20200727,12150,12350,12050,12200,62968
20200724,12100,12200,11950,12050,48067
20200723,12250,12250,12000,12150,69120
20200722,12200,12450,12150,12200,45428
20200721,12200,12550,12150,12200,99051
20200720,12200,12300,12050,12150,31596
20200717,12200,12250,12050,12200,37807
20200716,12150,12300,12100,12150,80966
20200715,12250,12450,12050,12200,103443
20200714,12000,12100,11900,12050,46024
20200713,11850,12200,11700,12000,68823
20200710,12200,12200,11800,11850,83586
20200709,12200,12300,12000,12100,61348
20200708,12400,12400,12000,12150,78150
20200707,12650,12700,12300,12350,47233
20200706,12400,12600,12250,12500,40658
20200703,12200,12400,12150,12400,30394
20200702,12150,12350,12150,12250,27950
20200701,12400,12500,12100,12150,71851
20200630,12100,12550,12000,12350,78113
20200629,12050,12250,11950,12000,91331
20200626,12450,12500,12250,12400,52359
20200625,12700,12750,12400,12400,94742
20200624,12900,13050,12800,12900,77317
20200623,13150,13300,12850,12850,91105
20200622,13150,13300,13050,13150,52931
20200619,13650,13650,13250,13350,103672
20200618,13400,13700,13200,13550,82323
20200617,13550,13700,13200,13600,116584
20200616,12750,13650,12750,13600,119016
20200615,13150,13200,12650,12650,125272
20200612,13250,13450,13100,13250,169915
20200611,13850,13900,13600,13800,173755
20200610,14000,14100,13800,14000,111756
20200609,14000,14300,13850,13900,84369
20200608,14200,14300,13900,14000,76078
20200605,13850,14150,13700,14050,103317
20200604,14350,14400,13800,13850,150269
20200603,13850,14400,13850,14050,213118
20200602,13600,13800,13500,13800,84748
20200601,13600,13800,13500,13700,89266
20200529,13400,13750,13300,13550,125271
20200528,13850,13850,13350,13450,257719
20200527,13300,13900,13250,13900,233145
20200526,13150,13400,13000,13350,93328
20200525,13200,13200,12900,13050,54312
20200522,13300,13550,12850,12900,131734
20200521,13300,13450,13000,13200,121120
20200520,12900,13550,12850,13200,219819
20200519,12600,12950,12600,12850,177463
20200518,12350,12450,12150,12350,93516
