,open,high,low,close,volume
202010141530,153000,153000,153000,153000,21041
202010141520,153000,153500,153000,153000,8270
202010141519,153000,153500,153000,153500,1827
202010141518,153500,153500,153000,153000,2594
202010141517,153000,153500,153000,153500,1616
202010141516,153000,153500,153000,153500,2684
202010141515,153000,153500,153000,153000,1777
202010141514,153500,153500,153000,153500,3151
202010141513,153500,153500,153000,153000,1049
202010141512,153000,153500,153000,153500,2456
202010141511,153500,153500,153000,153000,1228
202010141510,153000,153500,153000,153000,3034
202010141509,153000,153500,152500,153000,4237
202010141508,153000,153500,152500,153000,10077
202010141507,153500,153500,153000,153500,2424
202010141506,153500,154000,153500,153500,3413
202010141505,153500,154000,153500,153500,3597
202010141504,154500,154500,153500,153500,6090
202010141503,154500,154500,154000,154000,1802
202010141502,154500,154500,154000,154500,1156
202010141501,154500,155000,154000,154000,3882
202010141500,154500,155000,154500,155000,1557
202010141459,154500,155000,154500,155000,516
202010141458,154500,155000,154500,155000,485
202010141457,155000,155000,154500,154500,1066
202010141456,155000,155000,154500,154500,566
202010141455,155000,155000,154500,155000,499
202010141454,155000,155000,154500,155000,699
202010141453,154500,155000,154500,155000,604
202010141452,155000,155000,154500,154500,566
202010141451,154500,155000,154000,155000,1551
202010141450,154000,154500,154000,154500,3349
202010141449,154500,154500,154000,154500,565
202010141448,154500,154500,154000,154000,804
202010141447,154000,154500,154000,154000,1526
202010141446,154000,154500,154000,154500,825
202010141445,154500,154500,154000,154000,783
202010141444,154000,154500,154000,154500,1210
202010141443,154500,155000,154000,154000,2975
202010141442,155000,155000,154500,154500,574
202010141441,155000,155000,154500,154500,474
202010141440,154500,155000,154500,155000,2089
202010141439,155000,155000,154500,155000,820
202010141438,154500,155000,154000,155000,4625
202010141437,154500,154500,154000,154500,680
202010141436,154500,154500,154000,154500,666
202010141435,154500,154500,154000,154000,218
202010141434,154500,154500,154000,154500,597
202010141433,154000,154500,154000,154500,408
202010141432,154000,154500,154000,154500,434
202010141431,154500,154500,154000,154500,832
202010141430,154500,154500,154000,154500,241
202010141429,154000,154500,154000,154500,817
202010141428,154500,154500,154000,154000,334
202010141427,154000,154500,154000,154500,966
202010141426,154000,154500,154000,154000,1392
202010141425,154000,154500,154000,154500,1133
202010141424,153000,154500,153000,154500,3403
202010141423,153500,154000,153000,153500,7015
202010141422,154000,154500,153500,153500,5642
202010141421,154000,154500,154000,154000,2583
202010141420,154000,154500,154000,154000,4635
202010141419,154500,154500,154000,154000,968
202010141418,154500,154500,154000,154500,1895
202010141417,154500,155000,154000,154500,3775
202010141416,155500,155500,154000,154500,16296
202010141415,155000,155500,155000,155000,2133
202010141414,155500,155500,155000,155000,1998
202010141413,155000,155500,155000,155000,642
202010141412,155500,155500,155000,155500,1282
202010141411,155500,155500,155000,155000,1425
202010141410,155000,155500,155000,155500,1235
202010141409,155000,155500,155000,155500,2887
202010141408,155000,155500,155000,155000,1026
202010141407,155500,156000,155000,155500,6105
202010141406,155500,156000,155500,155500,490
202010141405,156000,156000,155500,155500,1113
202010141404,155500,156000,155500,155500,382
202010141403,155500,156000,155500,156000,966
202010141402,156000,156000,155500,155500,528
202010141401,155500,156000,155500,156000,310
202010141400,156000,156000,155500,156000,877
202010141359,155500,156000,155500,156000,625
202010141358,156000,156000,155500,156000,348
202010141357,156000,156000,155500,156000,583
202010141356,155500,156500,155500,156000,2983
202010141355,155500,156000,155500,155500,538
202010141354,156000,156000,155500,155500,1718
202010141353,155500,156500,155500,156000,2247
202010141352,156500,156500,155500,156000,1828
202010141351,156500,156500,156000,156500,487
202010141350,155500,156500,155500,156000,7904
202010141349,155500,156000,155500,155500,524
202010141348,155500,156000,155500,155500,1320
202010141347,155500,156000,155500,155500,361
202010141346,156000,156000,155500,155500,1397
202010141345,155500,156000,155500,155500,382
202010141344,155500,156000,155500,155500,674
202010141343,155500,156000,155500,156000,477
202010141342,155500,156000,155500,155500,651
202010141341,156000,156500,156000,156000,2835
202010141340,156500,156500,156000,156000,742
202010141339,156000,156500,156000,156500,2477
202010141338,156500,156500,156000,156500,436
202010141337,156000,156500,156000,156500,349
202010141336,156000,156500,156000,156000,560
202010141335,156000,156500,156000,156500,489
202010141334,156500,156500,156000,156000,575
202010141333,156500,156500,156000,156500,357
202010141332,156500,156500,156000,156000,662
202010141331,156000,156500,156000,156500,749
202010141330,156000,156500,156000,156500,410
202010141329,156000,156500,156000,156000,423
202010141328,156500,156500,156000,156500,368
202010141327,156000,156500,156000,156000,795
202010141326,156000,156500,156000,156000,206
202010141325,156500,156500,156000,156000,341
202010141324,156000,156500,156000,156500,975
202010141323,156000,156500,156000,156000,346
202010141322,156000,156500,156000,156500,1025
202010141321,156000,156500,156000,156000,387
202010141320,156000,156500,156000,156000,328
202010141319,156000,156500,156000,156000,242
202010141318,156000,156500,156000,156500,628
202010141317,156000,156500,156000,156000,193
202010141316,156500,156500,156000,156000,292
202010141315,156000,156500,156000,156500,884
202010141314,156000,156500,156000,156500,247
202010141313,156500,156500,156000,156000,154
202010141312,156500,156500,156000,156500,153
202010141311,156000,156500,156000,156500,3065
202010141310,156000,156500,156000,156000,2217
202010141309,156000,156500,156000,156000,324
202010141308,156000,156500,156000,156500,298
202010141307,156500,156500,156000,156000,612
202010141306,156000,156500,156000,156500,393
202010141305,156500,156500,156000,156500,284
202010141304,156000,156500,156000,156000,400
202010141303,156500,156500,156000,156000,317
202010141302,156000,156500,156000,156500,254
202010141301,156500,156500,156000,156500,967
202010141300,156500,156500,156000,156000,366
202010141259,156500,156500,156000,156500,172
202010141258,156500,156500,156000,156500,230
202010141257,156500,156500,156000,156500,355
202010141256,156000,156500,156000,156500,1774
202010141255,156500,156500,156000,156500,866
202010141254,156000,156500,156000,156500,765
202010141253,156500,157000,156000,156500,2352
202010141252,156500,157000,156500,156500,739
202010141251,157000,157000,156500,156500,591
202010141250,156500,157000,156500,157000,665
202010141249,157000,157000,156500,157000,171
202010141248,157000,157000,156500,157000,474
202010141247,156500,157000,156500,157000,359
202010141246,157000,157000,156500,157000,359
202010141245,157500,157500,156500,157000,3898
202010141244,157500,157500,157000,157500,529
202010141243,157000,157500,157000,157500,741
202010141242,157000,157500,156500,157000,2049
202010141241,156500,157000,156500,156500,3320
202010141240,156500,157000,156500,157000,932
202010141239,157000,157000,156500,156500,607
202010141238,157000,157000,156500,157000,464
202010141237,157000,157000,156500,157000,310
202010141236,157000,157000,156500,157000,762
202010141235,157000,157000,156500,156500,879
202010141234,156500,157000,156000,157000,1471
202010141233,156000,156500,156000,156500,2189
202010141232,156000,156500,156000,156500,526
202010141231,156000,156500,156000,156000,1296
202010141230,156000,156500,156000,156500,655
202010141229,156500,156500,156000,156500,2301
202010141228,156000,156500,156000,156500,410
202010141227,156000,156500,156000,156500,470
202010141226,156000,156500,155500,156000,3405
202010141225,155500,156000,155500,156000,535
202010141224,155500,156000,155500,156000,564
202010141223,155500,156000,155500,155500,550
202010141222,155500,156000,155500,155500,1024
202010141221,155500,156000,155500,155500,580
202010141220,155500,156000,155500,155500,727
202010141219,155500,156000,155000,155500,848
202010141218,155500,155500,155000,155500,2308
202010141217,155000,155500,155000,155500,393
202010141216,155500,155500,155000,155000,2493
202010141215,155500,155500,155000,155000,798
202010141214,156000,156000,155500,155500,2481
202010141213,155500,156000,155500,156000,1657
202010141212,155500,156000,155000,155500,914
202010141211,155500,156000,155000,155500,1066
202010141210,156000,156000,155500,156000,975
202010141209,155500,156000,155500,155500,530
